James	Langevin	RI	Democrat	rep	400230
James	Lankford	OK	Republican	sen	412464
Rick	Larsen	WA	Democrat	rep	400232
John	Larson	CT	Democrat	rep	400233
Robert	Latta	OH	Republican	rep	412256
Patrick	Leahy	VT	Democrat	sen	300065
Barbara	Lee	CA	Democrat	rep	400237
Mike	Lee	UT	Republican	sen	412495
Sander	Levin	MI	Democrat	rep	400238
John	Lewis	GA	Democrat	rep	400240
Daniel	Lipinski	IL	Democrat	rep	400630
Frank	LoBiondo	NJ	Republican	rep	400244
David	Loebsack	IA	Democrat	rep	412209
Zoe	Lofgren	CA	Democrat	rep	400245
Billy	Long	MO	Republican	rep	412445
Nita	Lowey	NY	Democrat	rep	400246
Frank	Lucas	OK	Republican	rep	400247
Blaine	Luetkemeyer	MO	Republican	rep	412292
Ben	Luján	NM	Democrat	rep	412293
Cynthia	Lummis	WY	Republican	rep	412294
Stephen	Lynch	MA	Democrat	rep	400249
Carolyn	Maloney	NY	Democrat	rep	400251
Kenny	Marchant	TX	Republican	rep	400656
Tom	Marino	PA	Republican	rep	412468
Edward	Markey	MA	Democrat	sen	400253
Doris	Matsui	CA	Democrat	rep	400663
John	McCain	AZ	Republican	sen	300071
Kevin	McCarthy	CA	Republican	rep	412190
Michael	McCaul	TX	Republican	rep	400654
Tom	McClintock	CA	Republican	rep	412295
Betty	McCollum	MN	Democrat	rep	400259
Jim	McDermott	WA	Democrat	rep	400262
James	McGovern	MA	Democrat	rep	400263
Patrick	McHenry	NC	Republican	rep	400644
David	McKinley	WV	Republican	rep	412487
Cathy	McMorris Rodgers	WA	Republican	rep	400659
Jerry	McNerney	CA	Democrat	rep	412189
Patrick	Meehan	PA	Republican	rep	412466
Gregory	Meeks	NY	Democrat	rep	400271
John	Mica	FL	Republican	rep	400273
Barbara	Mikulski	MD	Democrat	sen	300073
Candice	Miller	MI	Republican	rep	400276
Jeff	Miller	FL	Republican	rep	400279
Gwen	Moore	WI	Democrat	rep	400661
Jerry	Moran	KS	Republican	sen	400284
Mick	Mulvaney	SC	Republican	rep	412474
Lisa	Murkowski	AK	Republican	sen	300075
Christopher	Murphy	CT	Democrat	sen	412194
Tim	Murphy	PA	Republican	rep	400285
Patty	Murray	WA	Democrat	sen	300076
Jerrold	Nadler	NY	Democrat	rep	400289
Grace	Napolitano	CA	Democrat	rep	400290
Richard	Neal	MA	Democrat	rep	400291
Randy	Neugebauer	TX	Republican	rep	400441
Kristi	Noem	SD	Republican	rep	412475
Eleanor	Norton	DC	Democrat	rep	400295
Richard	Nugent	FL	Republican	rep	412409
Devin	Nunes	CA	Republican	rep	400297
Pete	Olson	TX	Republican	rep	412302
Steven	Palazzo	MS	Republican	rep	412443
Frank	Pallone	NJ	Democrat	rep	400308
Bill	Pascrell	NJ	Democrat	rep	400309
Rand	Paul	KY	Republican	sen	412492
Erik	Paulsen	MN	Republican	rep	412303
Stevan	Pearce	NM	Republican	rep	400313
